[start] tuple=6x8 权重内存 512MB | 分钟=600 out=td6_net_latest.bin
[bench] 10 秒实测 1357.4 局/秒（单进程）→ 48866400 局/600分钟
[train] games=38704 steps=4611875 | 窗口均分 1097 | 平均步 119 | 平均|δ| 0.287 | max|w| 3.9 | 512:0.0% 256:6.5% 128:49.8% 64:38.4% 32:5.1% 16:0.1% | 1.0min
[train] games=62621 steps=7611172 | 窗口均分 1171 | 平均步 125 | 平均|δ| 4.048 | max|w| 30.0 | 512:0.0% 256:7.6% 128:51.1% 64:37.3% 32:4.0% 16:0.0% | 2.0min
[train] games=76801 steps=9436438 | 窗口均分 1218 | 平均步 129 | 平均|δ| 10.499 | max|w| 30.0 | 512:0.0% 256:9.1% 128:52.3% 64:35.0% 32:3.6% 16:0.0% | 3.0min
[train] games=87137 steps=10766320 | 窗口均分 1217 | 平均步 129 | 平均|δ| 14.583 | max|w| 30.0 | 512:0.0% 256:9.2% 128:52.2% 64:34.8% 32:3.7% 16:0.0% | 4.0min
[train] games=97276 steps=12071844 | 窗口均分 1219 | 平均步 129 | 平均|δ| 16.332 | max|w| 30.0 | 512:0.0% 256:9.3% 128:53.0% 64:34.2% 32:3.5% 16:0.0% | 5.0min
[train] games=107624 steps=13394783 | 窗口均分 1205 | 平均步 128 | 平均|δ| 17.964 | max|w| 30.0 | 512:0.0% 256:8.2% 128:54.0% 64:34.1% 32:3.6% 16:0.1% | 6.0min
[train] games=120191 steps=15010865 | 窗口均分 1217 | 平均步 129 | 平均|δ| 19.532 | max|w| 30.0 | 512:0.0% 256:9.0% 128:53.6% 64:33.8% 32:3.5% 16:0.1% | 7.0min
[train] games=135332 steps=16963801 | 窗口均分 1224 | 平均步 129 | 平均|δ| 21.610 | max|w| 30.0 | 512:0.0% 256:9.5% 128:53.6% 64:33.5% 32:3.3% 16:0.1% | 8.0min
[train] games=152506 steps=19169931 | 窗口均分 1215 | 平均步 128 | 平均|δ| 23.454 | max|w| 30.0 | 512:0.0% 256:8.8% 128:54.2% 64:33.8% 32:3.2% 16:0.0% | 9.0min
[train] games=175406 steps=22100819 | 窗口均分 1210 | 平均步 128 | 平均|δ| 24.790 | max|w| 30.0 | 512:0.0% 256:8.8% 128:54.2% 64:33.4% 32:3.4% 16:0.1% | 10.0min
[train] games=204351 steps=25822098 | 窗口均分 1219 | 平均步 129 | 平均|δ| 25.629 | max|w| 30.0 | 512:0.0% 256:9.4% 128:53.5% 64:33.5% 32:3.5% 16:0.0% | 11.0min
[train] games=231930 steps=29348084 | 窗口均分 1209 | 平均步 128 | 平均|δ| 26.872 | max|w| 30.0 | 512:0.0% 256:9.0% 128:53.2% 64:33.9% 32:3.7% 16:0.1% | 12.0min
[train] games=257886 steps=32684808 | 窗口均分 1220 | 平均步 129 | 平均|δ| 28.040 | max|w| 30.0 | 512:0.0% 256:9.3% 128:53.5% 64:33.8% 32:3.3% 16:0.1% | 13.0min
[train] games=275900 steps=35002133 | 窗口均分 1221 | 平均步 129 | 平均|δ| 28.994 | max|w| 30.0 | 512:0.0% 256:9.4% 128:53.7% 64:33.4% 32:3.4% 16:0.0% | 14.0min
[train] games=285836 steps=36279268 | 窗口均分 1219 | 平均步 129 | 平均|δ| 29.489 | max|w| 30.0 | 512:0.0% 256:9.0% 128:54.3% 64:33.5% 32:3.2% 16:0.1% | 15.0min
[train] games=295982 steps=37588228 | 窗口均分 1225 | 平均步 129 | 平均|δ| 29.664 | max|w| 30.0 | 512:0.0% 256:9.6% 128:53.5% 64:33.5% 32:3.4% 16:0.1% | 16.0min
[train] games=306404 steps=38940500 | 窗口均分 1236 | 平均步 130 | 平均|δ| 30.050 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.3% 64:32.7% 32:3.2% 16:0.0% | 17.0min
[train] games=321964 steps=40949177 | 窗口均分 1227 | 平均步 129 | 平均|δ| 30.651 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.2% 64:33.2% 32:3.1% 16:0.0% | 18.0min
[train] games=336260 steps=42796637 | 窗口均分 1229 | 平均步 129 | 平均|δ| 31.101 | max|w| 30.0 | 512:0.1% 256:9.4% 128:54.3% 64:33.0% 32:3.2% 16:0.1% | 19.0min
[train] games=351961 steps=44824042 | 窗口均分 1228 | 平均步 129 | 平均|δ| 31.395 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.2% 64:32.9% 32:3.3% 16:0.1% | 20.0min
[train] games=374694 steps=47758311 | 窗口均分 1227 | 平均步 129 | 平均|δ| 31.969 | max|w| 30.0 | 512:0.0% 256:9.5% 128:53.8% 64:33.3% 32:3.3% 16:0.1% 8:0.0% | 21.0min
[train] games=400113 steps=51044989 | 窗口均分 1230 | 平均步 129 | 平均|δ| 32.646 | max|w| 30.0 | 512:0.0% 256:9.8% 128:53.8% 64:32.8% 32:3.4% 16:0.1% | 22.0min
[train] games=429650 steps=54867369 | 窗口均分 1231 | 平均步 129 | 平均|δ| 33.223 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.0% 64:33.1% 32:3.1% 16:0.1% | 23.0min
[train] games=455488 steps=58213725 | 窗口均分 1234 | 平均步 130 | 平均|δ| 33.843 | max|w| 30.0 | 512:0.0% 256:9.9% 128:54.0% 64:32.8% 32:3.3% 16:0.0% | 24.0min
[train] games=472226 steps=60377745 | 窗口均分 1230 | 平均步 129 | 平均|δ| 34.446 | max|w| 30.0 | 512:0.0% 256:9.8% 128:53.5% 64:33.0% 32:3.6% 16:0.1% | 25.0min
[train] games=482452 steps=61701106 | 窗口均分 1232 | 平均步 129 | 平均|δ| 34.596 | max|w| 30.0 | 512:0.0% 256:10.0% 128:53.7% 64:32.9% 32:3.3% 16:0.0% | 26.0min
[train] games=492378 steps=62984408 | 窗口均分 1230 | 平均步 129 | 平均|δ| 34.857 | max|w| 30.0 | 512:0.0% 256:9.9% 128:53.5% 64:33.0% 32:3.5% 16:0.1% | 27.0min
[train] games=502265 steps=64266223 | 窗口均分 1237 | 平均步 130 | 平均|δ| 34.704 | max|w| 30.0 | 512:0.0% 256:10.3% 128:53.8% 64:32.2% 32:3.7% 16:0.1% | 28.0min
[train] games=513847 steps=65767958 | 窗口均分 1233 | 平均步 130 | 平均|δ| 35.191 | max|w| 30.0 | 512:0.1% 256:9.2% 128:55.0% 64:32.2% 32:3.6% 16:0.1% | 29.0min
[ckpt] 已写 td6_net_latest.bin @ games=529127
[train] games=529128 steps=67742134 | 窗口均分 1230 | 平均步 129 | 平均|δ| 35.473 | max|w| 30.0 | 512:0.0% 256:9.9% 128:54.1% 64:32.5% 32:3.5% 16:0.1% | 30.0min
[train] games=544458 steps=69718679 | 窗口均分 1225 | 平均步 129 | 平均|δ| 35.725 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.5% 64:32.7% 32:3.4% 16:0.1% | 31.0min
[train] games=564852 steps=72356980 | 窗口均分 1231 | 平均步 129 | 平均|δ| 35.877 | max|w| 30.0 | 512:0.0% 256:9.6% 128:53.8% 64:33.3% 32:3.2% 16:0.1% | 32.0min
[train] games=589980 steps=75607221 | 窗口均分 1232 | 平均步 129 | 平均|δ| 36.287 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.0% 64:32.8% 32:3.3% 16:0.1% | 33.0min
[train] games=616108 steps=78992956 | 窗口均分 1234 | 平均步 130 | 平均|δ| 36.652 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.5% 64:32.5% 32:3.2% 16:0.1% | 34.0min
[train] games=634275 steps=81352708 | 窗口均分 1239 | 平均步 130 | 平均|δ| 36.972 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.5% 64:32.6% 32:3.1% 16:0.0% | 35.0min
[train] games=643855 steps=82596359 | 窗口均分 1239 | 平均步 130 | 平均|δ| 36.897 | max|w| 30.0 | 512:0.0% 256:10.0% 128:54.2% 64:32.6% 32:3.1% 16:0.1% | 36.0min
[train] games=653517 steps=83851850 | 窗口均分 1239 | 平均步 130 | 平均|δ| 37.069 | max|w| 30.0 | 512:0.1% 256:9.7% 128:54.4% 64:32.4% 32:3.5% 16:0.0% | 37.0min
[train] games=664529 steps=85273051 | 窗口均分 1226 | 平均步 129 | 平均|δ| 37.434 | max|w| 30.0 | 512:0.0% 256:9.5% 128:53.9% 64:33.1% 32:3.5% 16:0.1% | 38.0min
